,business_id,categories,city,name,review_count,star_avg,state,categories_list,health_business
0,2hpi6pXIFf0taDIYCoNIuw,"health & medical, urgent care",Las Vegas,Healthcare Partner,80,2.5,NV,"['health & medical', ' urgent care']",urgent care
1,EXS2vZ60ad1LGfJKBdwiWg,"doctors, health & medical, urgent care, medical centers",Scottsdale,FastMed Urgent Care,122,2.5,AZ,"['doctors', ' health & medical', ' urgent care', ' medical centers']",urgent care
2,JdzoXkjb4uHLTEkiaSZRuQ,"doctors, urgent care, health & medical",Goodyear,Banner Urgent Care,27,3.0,AZ,"['doctors', ' urgent care', ' health & medical']",urgent care
3,3_dwAO5gWSX0zNtJ7xAB9w,"hospitals, health & medical, urgent care, doctors",Anthem,HonorHealth Immediate Care - Gavilan Peak,20,2.0,AZ,"['hospitals', ' health & medical', ' urgent care', ' doctors']",urgent care
4,SPnKdy0k9npg8qonOQpaSw,"urgent care, health & medical",Indian Land,Doctors Care -  Indian Land,4,1.0,SC,"['urgent care', ' health & medical']",urgent care
5,_PDPTThF-af-kELmnUgVZg,"health & medical, urgent care",Wexford,UPMC Urgent Care - Wexford,4,4.0,PA,"['health & medical', ' urgent care']",urgent care
6,WITTSPb1uqxBZw1A89BmSw,"doctors, hospitals, health & medical, urgent care",Phoenix,HonorHealth Immediate Care - Saguaro,20,2.0,AZ,"['doctors', ' hospitals', ' health & medical', ' urgent care']",urgent care
7,brswxRJTLw6gd3uK9bpeSw,"health & medical, urgent care",Phoenix,Express Urgent Care,45,4.5,AZ,"['health & medical', ' urgent care']",urgent care
8,Ym2ZmIZtfNPEw9jAfNLJfQ,"urgent care, health & medical",Las Vegas,CareNow,77,3.0,NV,"['urgent care', ' health & medical']",urgent care
9,cIdMXsu8zGha6Gheh3ivZA,"urgent care, doctors, health & medical",Bainbridge,Cleveland Clinic - Bainbridge Urgent Care,3,4.5,OH,"['urgent care', ' doctors', ' health & medical']",urgent care
10,uS_CCQXaZuSt5cq-HnLkJQ,"health & medical, urgent care",Mesa,STATClinix: Urgent Care,19,3.0,AZ,"['health & medical', ' urgent care']",urgent care
11,U-eVaP2asT4ZnZdt0DU2GA,"health & medical, urgent care, doctors",Mesa,Urgent Care Express,3,4.0,AZ,"['health & medical', ' urgent care', ' doctors']",urgent care
12,qUbAhqfYKVTmqBqFhGqqBw,"health & medical, urgent care",Surprise,Express Urgent Care,19,5.0,AZ,"['health & medical', ' urgent care']",urgent care
13,7Zg7fmBxSkwwSP9kekGVmw,"hospitals, health & medical, doctors, medical centers, urgent care",Las Vegas,"St. Rose Dominican, San Martin Campus",180,3.0,NV,"['hospitals', ' health & medical', ' doctors', ' medical centers', ' urgent care']",urgent care
14,NTpfFzUXu4WydUiy5M6BBA,"hospitals, health & medical, urgent care",Las Vegas,UMC Quick Care,3,1.0,NV,"['hospitals', ' health & medical', ' urgent care']",urgent care
