,attributes,business_id,categories,city,name,review_count,star_avg,state,categories_list
0,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",y-4xTZNKVm8mAZpiXMS5ZA,"urologists, doctors, health & medical",Gilbert,"Lauren Byrne, MD",9,2.5,AZ,"['urologists', ' doctors', ' health & medical']"
1,{'ByAppointmentOnly': 'True'},STcSSjPOZ0FWtjvjqw99Dg,"doctors, orthopedists, health & medical",Henderson,Black Mountain Orthopaedics,5,3.5,NV,"['doctors', ' orthopedists', ' health & medical']"
2,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",WnRtn80rdsWOa2nWZ6G1iA,"obstetricians & gynecologists, health & medical, doctors",Phoenix,Central Phoenix Women's Health Care,34,3.5,AZ,"['obstetricians & gynecologists', ' health & medical', ' doctors']"
3,,l3DXx5PGPac-LdS0an4wQA,"health & medical, physical therapy",Phoenix,Apex Physical Therapy,8,3.5,AZ,"['health & medical', ' physical therapy']"
4,,aFJYPxKQbAt-0iBtOPNpuQ,"diagnostic services, health & medical",Litchfield Park,Labcorp,6,1.5,AZ,"['diagnostic services', ' health & medical']"
5,{'ByAppointmentOnly': 'True'},yOJrDZU5zkxJoZOJTZXLvQ,"neurologist, spine surgeons, cosmetic surgeons, doctors, health & medical",Las Vegas,"Michael Seiff, MD",7,4.0,NV,"['neurologist', ' spine surgeons', ' cosmetic surgeons', ' doctors', ' health & medical']"
6,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",SwCaLBrKwtuLwkoLP3LvCw,"emergency rooms, urgent care, health & medical, diagnostic services, hospitals, diagnostic imaging",Goodyear,Abrazo West Campus,78,2.5,AZ,"['emergency rooms', ' urgent care', ' health & medical', ' diagnostic services', ' hospitals', ' diagnostic imaging']"
7,{'ByAppointmentOnly': 'True'},um0TMsikGigdQtxDe_qJlg,"health & medical, neurologist, doctors",Mesa,Toffol Gilbert Do,4,3.0,AZ,"['health & medical', ' neurologist', ' doctors']"
8,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",so_geG-9KLmmNTQaxWAh-w,"health & medical, obstetricians & gynecologists, doctors",Glendale,Desert West Obstetrics & Gynecology,66,3.0,AZ,"['health & medical', ' obstetricians & gynecologists', ' doctors']"
9,,c2JjUyka9sFm-EvjZU8b9g,"doctors, obstetricians & gynecologists, health & medical",Phoenix,Bradley J. Monk,3,2.5,AZ,"['doctors', ' obstetricians & gynecologists', ' health & medical']"
10,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",nrD2LwVQ4AWMB-ZabHQEIQ,"optometrists, health & medical",Solon,Gale's Vision Source,3,4.5,OH,"['optometrists', ' health & medical']"
11,{'ByAppointmentOnly': 'True'},zVrj2ZgPC-JB6PW4iG3XYA,"chiropractors, health & medical",Glendale,Jensen Lisa DC,3,5.0,AZ,"['chiropractors', ' health & medical']"
12,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",5vn454t2dY3qMEBjQuUkLQ,"orthotics, prosthetics, doctors, health & medical, pediatricians",Pittsburgh,Union Orthotics & Prosthetics,4,3.5,PA,"['orthotics', ' prosthetics', ' doctors', ' health & medical', ' pediatricians']"
13,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",jRTJqrO4Ouu5L6mtABdNRg,"pediatricians, doctors, health & medical, family practice",Gilbert,Complete Care Medicine,59,3.0,AZ,"['pediatricians', ' doctors', ' health & medical', ' family practice']"
14,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",gVRg4Fmp_M-p-FCrOLTUrA,"obstetricians & gynecologists, health & medical, doctors",Las Vegas,"Lisa Roberts, MD, FACOG",12,2.5,NV,"['obstetricians & gynecologists', ' health & medical', ' doctors']"
