,model_name,fold_idx,accuracy
0,RandomForestClassifier,0,0.5021868166198064
1,RandomForestClassifier,1,0.5064448089992969
2,RandomForestClassifier,2,0.5033981720178111
3,RandomForestClassifier,3,0.504609375
4,RandomForestClassifier,4,0.504453125
5,LinearSVC,0,0.8245860668541081
6,LinearSVC,1,0.8235294117647058
7,LinearSVC,2,0.8250917897039294
8,LinearSVC,3,0.819609375
9,LinearSVC,4,0.823515625
10,MultinomialNB,0,0.813573883161512
11,MultinomialNB,1,0.8098586047965003
12,MultinomialNB,2,0.8090774158268885
13,MultinomialNB,3,0.8096875
14,MultinomialNB,4,0.8071875
15,LogisticRegression,0,0.820134333020931
16,LogisticRegression,1,0.8207171314741036
17,LogisticRegression,2,0.8207952503710647
18,LogisticRegression,3,0.81796875
19,LogisticRegression,4,0.817734375
